"","y","X1","X2"
"1",1.14723205676664,1,0.262743744724565
"2",1.31480777083458,1,0.39341627606713
"3",1.03707474942235,1,1.30789265136993
"4",1.37376096673903,1,-0.23731496825807
"5",3.54148917172745,1,-0.346125076465856
"6",5.77531652101883,1,0.724831062388177
"7",-2.00947723692767,0,-0.401482409863713
"8",-3.42663400922584,1,-1.37361908433333
"9",5.97491927967635,0,0.638895459709951
"10",0.620985924566874,0,0.00396812503264091
"11",1.67708858835063,0,-0.67496838845016
"12",2.23767030763855,1,0.193619964150763
"13",5.32194250752629,1,0.177968482027581
"14",0.553941216603238,0,1.24762270863241
"15",5.15366202636774,0,0.489814371037108
"16",3.92538352903237,0,-0.420219335601805
"17",3.7348824043171,0,-0.692194069138238
"18",0.362061325463756,0,1.09329160378368
"19",-2.58681781974847,1,1.25518456865457
"20",0.476446574121277,1,0.564204924840082
"21",6.32868955864292,0,-1.31393986739745
"22",7.26660269154762,1,0.173787730458051
"23",4.05249214487129,1,-0.929701161594759
"24",-0.646751575355926,0,-0.782137725744456
"25",3.46851873461465,0,-1.66741098801441
"26",4.09512924732425,1,0.74048773349387
"27",1.48430129353128,0,-1.01300311903907
"28",1.88641146891685,0,0.780451647191235
"29",1.07975162264204,1,-0.589248358403564
"30",2.72220588721425,1,-1.1854968243606
"31",1.38768043493195,0,0.85191480838899
"32",-0.0991483098666137,1,0.967248766089041
"33",2.06895069771159,0,-0.887859965056857
"34",3.84071032918404,1,-0.303154469836555
"35",2.07941208387593,1,1.2702332282968
"36",6.93740891388094,0,1.35405118309638
"37",2.89761642644138,1,-1.1711881409259
"38",1.84717238093061,0,1.02868078946078
"39",-0.581051321711628,0,0.920419370184554
"40",5.1760670587077,0,0.0808973874045009
"41",0.555659557233147,1,0.0683539790903799
"42",2.6090228278862,1,0.737337395482196
"43",-0.111080735109969,1,0.600238791888756
"44",2.30563355830563,1,0.518477067367755
"45",4.91671571326723,0,0.70682970344468
"46",3.54120307463714,1,1.13674636224744
"47",2.80433033997274,1,0.566868850475622
